WARN  | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'warnLog'  
ERROR | 04-07-2019 | 00:55:39 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:55:39 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:56:15 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate primary key'  
ERROR | 04-07-2019 | 00:56:15 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:56:15 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:56:54 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:56:54 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 15:37:09 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:37:09 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:37:48 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:42:20 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:43:12 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:43:12 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:44:12 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:44:12 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:47:14 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:47:14 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 15:50:52 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 16:03:17 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 16:04:55 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 18:19:11 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 18:53:43 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 18:55:06 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 18:55:06 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 19:51:07 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 19:52:25 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:22:37 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:37:59 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:38:12 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:38:31 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:44:58 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:46:45 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:46:45 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:46:58 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 21:46:58 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:23:57 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:23:57 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:24:20 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:24:20 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:28:48 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:28:48 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:33:46 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
